# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ER3413_3635	ER3413_3635	AIZ53335	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ER3413_4464	ER3413_4464	AIZ54128	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ER3413_4465	ER3413_4465	AIZ54129	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ER3413_565	ER3413_565	AIZ54402	protein_coding	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55
ER3413_566	ER3413_566	AIZ54403	protein_coding	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55
acnA	ER3413_1297	AIZ51078	protein_coding	0	5	3	0	0	1	0	0	0	2	0	0	0	0	0	5	0
acrE	ER3413_3350	AIZ53053	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
acrF	ER3413_3351	AIZ53054	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ade	ER3413_3778	AIZ53478	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
alaT	ER3413_3964	ER3413_3964-1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
aldB	ER3413_3696	AIZ53395	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
alsK	ER3413_4226	AIZ53897	protein_coding	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0
amiD	ER3413_887	AIZ54716	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
amn	ER3413_2044	AIZ51800	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
appY	ER3413_570	AIZ54405	protein_coding	0	7	7	41	0	0	4	0	0	7	0	0	0	0	0	7	37
aqpZ	ER3413_894	AIZ54724	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
argU	ER3413_546	ER3413_546-1	protein_coding	0	0	0	35	0	0	35	0	0	0	0	0	0	0	0	0	0
argX	ER3413_3908	ER3413_3908-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aroB	ER3413_3477	AIZ53180	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aroF	ER3413_2682	AIZ52418	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aroK	ER3413_3478	AIZ53181	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
artI	ER3413_882	AIZ54711	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
artM	ER3413_880	AIZ54709	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
artP	ER3413_883	AIZ54712	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
artQ	ER3413_881	AIZ54710	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aslA	ER3413_3913	AIZ53606	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
aslB	ER3413_3912	AIZ53605	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
asnB	ER3413_686	AIZ54516	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
aspA	ER3413_4283	AIZ53956	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
asr	ER3413_1634	AIZ51390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
avtA	ER3413_3679	AIZ53377	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
bamD	ER3413_2678	AIZ52413	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
bax	ER3413_3677	AIZ53375	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
bcsA	ER3413_3632	AIZ53333	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
bcsB	ER3413_3631	AIZ53332	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
bcsC	ER3413_3629	AIZ53329	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
bcsE	ER3413_3636	AIZ53336	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
bcsZ	ER3413_3630	AIZ53331	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
bglX	ER3413_2195	AIZ51940	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
bhsA	ER3413_1141	AIZ50927	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
blr	ER3413_4531	AIZ54196	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
btuR	ER3413_1289	AIZ51069	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
casA	ER3413_2842	AIZ52560	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
casB	ER3413_2841	AIZ52559	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
casC	ER3413_2840	AIZ52558	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
casD	ER3413_4595	AIZ54266	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
casE	ER3413_2839	AIZ52556	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
clcB	ER3413_1630	AIZ51386	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
clpA	ER3413_901	AIZ54733	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
clpS	ER3413_900	AIZ54732	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
clsC	ER3413_1071	AIZ50855	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
cnu	ER3413_1662	AIZ51421	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
csgA	ER3413_1067	AIZ50850	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
csgB	ER3413_1066	AIZ50849	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
csgC	ER3413_1068	AIZ50851	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
csgD	ER3413_1063	AIZ50848	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
csgE	ER3413_1062	AIZ50847	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
csgF	ER3413_1061	AIZ50846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
csgG	ER3413_1060	AIZ50845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
cspD	ER3413_899	AIZ54729	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
